name,mac_address,encryption,wpaVersion,nbPackets,dataSize,lat,lon,firstTimeSeen,lastTimeSeen
Axion_80136762,04:D4:C4:1A:2E:B0,WPA+AES-CCM WPA+PSK,WPA2,2,78,45.446548,-71.957786,Tue Oct 11 21:05:35 2022,Tue Oct 11 21:05:44 2022
Axion_80204069-5g_2GEXT,10:0C:6B:33:86:E4,WPA+AES-CCM WPA+PSK,WPA2,28,0,45.446533,-71.957777,Tue Oct 11 21:03:53 2022,Tue Oct 11 21:06:22 2022
Linksys08969,14:91:82:5D:7B:42,None,None,151,0,45.446529,-71.957776,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:23 2022
Linksys08969_5GHz,14:91:82:5D:7B:44,WPA+AES-CCM WPA+PSK,WPA2,115,0,45.446530,-71.957776,Tue Oct 11 21:03:53 2022,Tue Oct 11 21:06:24 2022
ptaszek,18:D6:C7:4D:33:FC,WPA+AES-CCM WPA+PSK WPA+TKIP,WPA+WPA2,1,0,45.446552,-71.957786,Tue Oct 11 21:05:45 2022,Tue Oct 11 21:05:45 2022
WifiTrem2,30:23:03:2A:BC:AB,WPA+AES-CCM WPA+PSK,WPA2,13,935,45.446525,-71.957770,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:23 2022
WifiTrem2,30:23:03:2A:BF:58,WPA+AES-CCM WPA+PSK,WPA2,24,651,45.446531,-71.957777,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:14 2022
Cloaked,36:23:03:2A:BC:AB,WPA+AES-CCM WPA+PSK,WPA2,11,0,45.446538,-71.957781,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:23 2022
Cloaked,36:23:03:2A:BF:58,WPA+AES-CCM WPA+PSK,WPA2,11,0,45.446526,-71.957772,Tue Oct 11 21:03:52 2022,Tue Oct 11 21:06:23 2022
c6705bbf,50:2C:C6:70:5B:BF,WPA+AES-CCM WPA+PSK,WPA2,1,0,None,None,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:03:49 2022
DIRECT-4W-EPSON-ET-2720 Series,52:57:9C:94:52:C4,WPA+AES-CCM WPA+PSK,WPA2,32,0,45.446529,-71.957776,Tue Oct 11 21:03:54 2022,Tue Oct 11 21:06:23 2022
NiLouSaGuy3,60:63:4C:89:57:22,WPA+AES-CCM WPA+PSK WPA+TKIP,WPA+WPA2,4,0,45.446533,-71.957776,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:23 2022
HP-Print-EE-Officejet Pro 8630,6C:C2:17:1E:EB:EE,None,None,8,0,45.446518,-71.957760,Tue Oct 11 21:03:50 2022,Tue Oct 11 21:05:45 2022
Les-presidents-2 4g,84:D8:1B:23:78:1C,WPA+PSK WPA+TKIP,WPA,2,0,45.446506,-71.957764,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:04:42 2022
Axion-80140050,A8:5E:45:DC:EE:88,WPA+AES-CCM WPA+PSK,WPA+WPA2,57,2188,45.446524,-71.957771,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:22 2022
