name,mac_address,encryption,wpaVersion,nbPackets,dataSize,lat,lon,firstTimeSeen,lastTimeSeen
Axion_2G_Guest,A8:5E:45:DC:EE:89,WPA+AES-CCM WPA+PSK,WPA2,53,312,45.446525,-71.957772,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:22 2022
Axion_80229699,C0:C9:E3:5D:DD:2E,WPA+AES-CCM WPA+PSK,WPA2,9,0,45.446524,-71.957774,Tue Oct 11 21:04:05 2022,Tue Oct 11 21:06:14 2022
3564 oiselet,C4:41:1E:99:0C:1D,WPA+AES-CCM WPA+PSK,WPA2,111,0,45.446531,-71.957777,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:23 2022
3564 oiselet,C4:41:1E:99:0C:1E,WPA+AES-CCM WPA+PSK,WPA2,63,1226,45.446531,-71.957777,Tue Oct 11 21:03:56 2022,Tue Oct 11 21:06:24 2022
3564 oiselet,C4:41:1E:99:0D:3A,WPA+AES-CCM WPA+PSK,WPA2,960,945998,45.446531,-71.957781,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:22 2022
3564 oiselet,C4:41:1E:99:0D:3C,WPA+AES-CCM WPA+PSK,WPA2,57,1736,45.446535,-71.957780,Tue Oct 11 21:03:57 2022,Tue Oct 11 21:06:26 2022
3564 oiselet,C4:41:1E:99:0E:9D,WPA+AES-CCM WPA+PSK,WPA2,142,3900,45.446531,-71.957777,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:26 2022
3564 oiselet,C4:41:1E:99:0E:9E,WPA+AES-CCM WPA+PSK,WPA2,66,4112,45.446533,-71.957779,Tue Oct 11 21:03:56 2022,Tue Oct 11 21:06:24 2022
3564 oiselet,C4:41:1E:99:0E:9F,WPA+AES-CCM WPA+PSK,WPA2,68,4167,45.446531,-71.957776,Tue Oct 11 21:03:51 2022,Tue Oct 11 21:06:26 2022
Cloaked,CA:41:1E:99:0C:1D,WPA+AES-CCM WPA+PSK,WPA2,67,0,45.446530,-71.957776,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:23 2022
Cloaked,CA:41:1E:99:0D:3A,WPA+AES-CCM WPA+PSK,WPA2,49,0,45.446529,-71.957776,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:22 2022
Cloaked,CA:41:1E:99:0E:9D,WPA+AES-CCM WPA+PSK,WPA2,83,0,45.446529,-71.957775,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:25 2022
Axion_80158720,D8:47:32:A0:94:46,WPA+AES-CCM WPA+PSK,WPA2,1,0,45.446506,-71.957748,Tue Oct 11 21:03:52 2022,Tue Oct 11 21:03:52 2022
AT_204_D30_fd45,F8:B9:5A:CF:FD:45,WPA+AES-CCM WPA+PSK,WPA2,1,0,45.446552,-71.957786,Tue Oct 11 21:05:45 2022,Tue Oct 11 21:05:45 2022
Cloaked,FA:8F:CA:9C:E2:81,None,None,9,0,45.446536,-71.957783,Tue Oct 11 21:03:49 2022,Tue Oct 11 21:06:12 2022
