ts_sec	ts_usec	phyname	sourcemac	destmac	transmac	frequency	devkey	lat	lon	packet_len	signal	datasource	dlt	error	tags
1652624448	830908	IEEE802.11	E4:8B:7F:D3:E7:AC	01:00:5E:00:00:FB	00:00:00:00:00:00	5745000.0	0	45.446505542	-71.957632105	176	-56	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624448	830648	IEEE802.11	C4:41:1E:99:0D:3C	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	5745000.0	0	45.446505542	-71.957632105	340	-57	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624448	908214	IEEE802.11	E4:8B:7F:D3:E7:AC	01:00:5E:00:00:FB	00:00:00:00:00:00	5745000.0	0	45.446505542	-71.957632105	176	-54	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624448	911195	IEEE802.11	C4:41:1E:99:0E:9F	2E:30:C1:0B:D5:4C	00:00:00:00:00:00	5745000.0	0	45.446505542	-71.957632105	58	-48	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624448	909506	IEEE802.11	2E:30:C1:0B:D5:4C	2E:30:C1:0B:D5:4C	00:00:00:00:00:00	5745000.0	0	45.446505542	-71.957632105	40	-54	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624448	909429	IEEE802.11	2E:30:C1:0B:D5:4C	C4:41:1E:99:0E:9F	00:00:00:00:00:00	5745000.0	0	45.446505542	-71.957632105	54	-45	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624448	933070	IEEE802.11	C4:41:1E:99:0D:3C	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	5745000.0	0	45.446505542	-71.957632105	340	-56	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624449	600507	IEEE802.11	CA:41:1E:99:0C:1F	C4:41:1E:99:0D:3C	00:00:00:00:00:00	5785000.0	0	45.446505542	-71.957632105	58	-63	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624451	109412	IEEE802.11	E0:3E:44:10:EE:88	E0:3E:44:10:EE:88	00:00:00:00:00:00	2422000.0	0	45.446499446	-71.957636064	40	-85	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624451	80945	IEEE802.11	A8:5E:45:DC:EE:89	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	2422000.0	0	45.446499446	-71.957636064	345	-80	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	DOT11_BEACON_SSID
1652624451	115743	IEEE802.11	CA:41:1E:99:0C:1D	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	2422000.0	0	45.446499446	-71.957636064	328	-69	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624451	61754	IEEE802.11	E0:3E:44:10:EE:88	E0:3E:44:10:EE:88	00:00:00:00:00:00	2422000.0	0	45.446499446	-71.957636064	40	-86	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624451	143771	IEEE802.11	E0:3E:44:10:EE:88	E0:3E:44:10:EE:88	00:00:00:00:00:00	2422000.0	0	45.446499446	-71.957636064	40	-85	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624452	261802	IEEE802.11	C4:41:1E:99:0E:9D	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	2462000.0	0	45.446493133	-71.957636064	409	-46	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624452	312224	IEEE802.11	CA:41:1E:99:0E:9D	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	2462000.0	0	45.446493133	-71.957636064	321	-46	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624452	414600	IEEE802.11	CA:41:1E:99:0E:9D	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	2462000.0	0	45.446493133	-71.957636064	321	-46	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624452	364109	IEEE802.11	C4:41:1E:99:0E:9D	FF:FF:FF:FF:FF:FF	00:00:00:00:00:00	2462000.0	0	45.446493133	-71.957636064	409	-46	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624452	365028	IEEE802.11	50:57:9C:94:D2:C4	01:00:5E:00:00:FB	00:00:00:00:00:00	2462000.0	0	45.446493133	-71.957636064	110	-46	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624453	22511	IEEE802.11	CA:41:1E:99:0D:3B	C4:41:1E:99:0E:9E	00:00:00:00:00:00	5180000.0	0	45.446480725	-71.957640023	58	-60	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624453	36387	IEEE802.11	CA:41:1E:99:0D:3B	C4:41:1E:99:0E:9E	00:00:00:00:00:00	5180000.0	0	45.446480725	-71.957640023	58	-60	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624453	22751	IEEE802.11	CA:41:1E:99:0D:3B	01:80:C2:00:00:00	00:00:00:00:00:00	5180000.0	0	45.446480725	-71.957640023	108	-57	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624453	45207	IEEE802.11	C4:41:1E:99:0E:9E	C4:41:1E:99:0E:9E	00:00:00:00:00:00	5180000.0	0	45.446480725	-71.957640023	40	-55	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624453	58960	IEEE802.11	CA:41:1E:99:0D:3B	C4:41:1E:99:0E:9E	00:00:00:00:00:00	5180000.0	0	45.446480725	-71.957640023	58	-60	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
1652624453	62125	IEEE802.11	CA:41:1E:99:0D:3B	C4:41:1E:99:0E:9E	00:00:00:00:00:00	5180000.0	0	45.446480725	-71.957640023	58	-60	5FE308BD-0000-0000-0000-00C0CAB02675	127	0	
