mac_client,packetsNb_client,encoding_client,number_client,channel_client,carrier_client,datasize_client,encrypted_clients_packets,client_type,connected_network
00:06:78:24:0B:C1,73,,1,0,None,0,0,tods,00:06:78:24:0B:C1
76:05:ED:7A:84:39,2,CCK,1,0,IEEE 802.11b+,646,0,ad-hoc,00:25:00:FF:94:73
14:91:82:5D:7B:42,183,,1,6,None,0,0,unknown,14:91:82:5D:7B:42
14:91:82:5D:7B:44,198,CCK,1,36,IEEE 802.11b+,0,0,established,14:91:82:5D:7B:44
1E:13:A2:92:FB:80,8,,1,0,None,0,0,tods,1E:13:A2:92:FB:80
40:CA:63:58:25:28,16,,1,0,None,0,0,unknown,40:CA:63:58:25:28
52:57:9C:94:52:C4,71,CCK,1,0,IEEE 802.11b+,0,0,unknown,52:57:9C:94:52:C4
86:2D:B5:4F:07:5F,14,CCK,1,0,IEEE 802.11b,0,0,tods,86:2D:B5:4F:07:5F
A8:5E:45:DC:EE:88,4,,1,0,None,306,4,fromds,A8:5E:45:DC:EE:88
A8:5E:45:DC:EE:89,1,,1,0,None,78,1,fromds,A8:5E:45:DC:EE:89
B0:60:88:AC:D9:74,9,CCK,1,0,IEEE 802.11b,0,0,tods,B0:60:88:AC:D9:74
B8:27:EB:90:24:00,23,CCK,1,0,IEEE 802.11b,0,0,tods,B8:27:EB:90:24:00
00:04:4B:BA:93:BF,5,,1,0,None,669,5,fromds,C4:41:1E:99:0C:1D
50:57:9C:94:D2:C4,1,,2,0,None,94,1,fromds,C4:41:1E:99:0C:1D
B6:D5:10:AF:3B:5E,3,CCK,3,0,IEEE 802.11b+,280,2,established,C4:41:1E:99:0C:1D
C2:8E:09:20:3D:6A,5,CCK,4,0,IEEE 802.11b+,530,5,fromds,C4:41:1E:99:0C:1D
C4:41:1E:99:0C:1C,1,CCK,5,0,IEEE 802.11b+,76,1,fromds,C4:41:1E:99:0C:1D
C4:41:1E:99:0C:1D,156,CCK,6,2,IEEE 802.11b+,426,5,fromds,C4:41:1E:99:0C:1D
C4:41:1E:99:0E:9C,4,CCK,7,0,IEEE 802.11b+,626,4,fromds,C4:41:1E:99:0C:1D
D6:0B:C5:61:02:B1,3,CCK,8,0,IEEE 802.11b+,757,3,fromds,C4:41:1E:99:0C:1D
00:04:4B:BA:93:BF,2,CCK,1,0,IEEE 802.11b,194,2,fromds,C4:41:1E:99:0C:1E
0C:3E:9F:75:C6:2C,1,CCK,2,0,IEEE 802.11b,88,1,fromds,C4:41:1E:99:0C:1E
C4:41:1E:99:0C:1E,20,CCK,3,48,IEEE 802.11b,78,1,unknown,C4:41:1E:99:0C:1E
C4:41:1E:99:0E:9C,1,CCK,4,0,IEEE 802.11b,151,1,fromds,C4:41:1E:99:0C:1E
00:04:4B:BA:93:BF,16,,1,0,None,3516,16,fromds,C4:41:1E:99:0D:3A
0C:3E:9F:75:C6:2C,2,,2,0,None,152,2,fromds,C4:41:1E:99:0D:3A
2C:D2:6B:88:1E:99,2,CCK,3,0,IEEE 802.11b+,140,1,tods,C4:41:1E:99:0D:3A
54:60:09:FE:5E:0C,3,CCK,4,0,IEEE 802.11b+,1365,3,fromds,C4:41:1E:99:0D:3A
9E:50:4A:18:3F:B0,3,CCK,5,0,IEEE 802.11b+,516,3,fromds,C4:41:1E:99:0D:3A
B6:D5:10:AF:3B:5E,1,CCK,6,0,IEEE 802.11b+,76,1,fromds,C4:41:1E:99:0D:3A
C2:8E:09:20:3D:6A,6,CCK,7,0,IEEE 802.11b+,1605,6,fromds,C4:41:1E:99:0D:3A
C4:41:1E:99:0C:1C,2,CCK,8,0,IEEE 802.11b+,366,2,fromds,C4:41:1E:99:0D:3A
C4:41:1E:99:0C:1D,1,CCK,9,0,IEEE 802.11b+,294,1,fromds,C4:41:1E:99:0D:3A
C4:41:1E:99:0D:39,2,CCK,10,0,IEEE 802.11b+,243,2,fromds,C4:41:1E:99:0D:3A
C4:41:1E:99:0D:3A,234,CCK,11,5,IEEE 802.11b+,1654,19,fromds,C4:41:1E:99:0D:3A
C4:41:1E:99:0E:9C,4,CCK,12,0,IEEE 802.11b+,492,4,fromds,C4:41:1E:99:0D:3A
D6:0B:C5:61:02:B1,12,CCK,13,0,IEEE 802.11b+,3373,12,fromds,C4:41:1E:99:0D:3A
