mac_client,packetsNb_client,encoding_client,number_client,channel_client,carrier_client,datasize_client,encrypted_clients_packets,client_type,connected_network
00:04:4B:BA:93:BF,19,CCK,1,0,IEEE 802.11b,674,3,established,C4:41:1E:99:0D:3C
54:60:09:FE:5E:0C,1,CCK,2,0,IEEE 802.11b,153,1,fromds,C4:41:1E:99:0D:3C
9E:50:4A:18:3F:B0,4,CCK,3,0,IEEE 802.11b,440,2,established,C4:41:1E:99:0D:3C
B8:27:EB:90:24:00,2,CCK,4,0,IEEE 802.11b,335,2,fromds,C4:41:1E:99:0D:3C
C2:8E:09:20:3D:6A,1,CCK,5,0,IEEE 802.11b,169,1,fromds,C4:41:1E:99:0D:3C
C4:41:1E:99:0D:39,1,CCK,6,0,IEEE 802.11b,117,1,fromds,C4:41:1E:99:0D:3C
C4:41:1E:99:0D:3C,118,CCK,7,149,IEEE 802.11b+,348,4,fromds,C4:41:1E:99:0D:3C
C4:41:1E:99:0E:9C,2,CCK,8,0,IEEE 802.11b,303,2,fromds,C4:41:1E:99:0D:3C
D6:0B:C5:61:02:B1,6,CCK,9,0,IEEE 802.11b,1358,4,established,C4:41:1E:99:0D:3C
E4:8B:7F:D3:E7:AC,1,CCK,10,0,IEEE 802.11b,24,0,tods,C4:41:1E:99:0D:3C
00:04:4B:BA:93:BF,12,,1,0,None,1679,12,fromds,C4:41:1E:99:0E:9D
0C:3E:9F:75:C6:2C,2,,2,0,None,152,2,fromds,C4:41:1E:99:0E:9D
2C:F0:5D:A4:25:32,5,CCK,3,0,IEEE 802.11b+,866,5,fromds,C4:41:1E:99:0E:9D
50:57:9C:94:D2:C4,2,CCK,4,0,IEEE 802.11b+,188,2,established,C4:41:1E:99:0E:9D
62:60:81:C7:C3:DB,1,CCK,5,0,IEEE 802.11b+,24,0,tods,C4:41:1E:99:0E:9D
9E:50:4A:18:3F:B0,2,CCK,6,0,IEEE 802.11b+,392,2,fromds,C4:41:1E:99:0E:9D
B6:D5:10:AF:3B:5E,2,CCK,7,0,IEEE 802.11b+,152,2,fromds,C4:41:1E:99:0E:9D
B8:27:EB:90:24:00,3,CCK,8,0,IEEE 802.11b+,72,0,tods,C4:41:1E:99:0E:9D
C2:8E:09:20:3D:6A,4,CCK,9,0,IEEE 802.11b+,1360,4,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0D:39,2,CCK,10,0,IEEE 802.11b+,202,2,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0D:3A,1,CCK,11,0,IEEE 802.11b+,130,1,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0E:9C,8,CCK,12,0,IEEE 802.11b+,1284,8,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0E:9D,192,CCK,13,9,IEEE 802.11b+,84,1,fromds,C4:41:1E:99:0E:9D
CA:41:1E:99:0C:1F,12,CCK,14,0,IEEE 802.11b+,996,12,fromds,C4:41:1E:99:0E:9D
D6:0B:C5:61:02:B1,3,CCK,15,0,IEEE 802.11b+,853,3,fromds,C4:41:1E:99:0E:9D
E4:8B:7F:D3:E7:AC,4,CCK,16,0,IEEE 802.11b+,516,4,fromds,C4:41:1E:99:0E:9D
00:04:4B:BA:93:BF,3,CCK,1,0,IEEE 802.11b,274,3,fromds,C4:41:1E:99:0E:9E
0C:3E:9F:75:C6:2C,5,CCK,2,0,IEEE 802.11b,184,1,established,C4:41:1E:99:0E:9E
54:60:09:FE:5E:0C,2,CCK,3,0,IEEE 802.11b,258,2,fromds,C4:41:1E:99:0E:9E
B8:27:EB:90:24:00,1,CCK,4,0,IEEE 802.11b,120,1,fromds,C4:41:1E:99:0E:9E
B8:27:EB:C5:71:55,1,CCK,5,0,IEEE 802.11b,120,1,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0E:9C,1,CCK,6,0,IEEE 802.11b,130,1,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0E:9E,95,CCK,7,48,IEEE 802.11b,0,0,fromds,C4:41:1E:99:0E:9E
CA:41:1E:99:0C:1F,6,CCK,8,0,IEEE 802.11b,504,6,fromds,C4:41:1E:99:0E:9E
D6:0B:C5:61:02:B1,2,CCK,9,0,IEEE 802.11b,352,2,fromds,C4:41:1E:99:0E:9E
E4:8B:7F:D3:E7:AC,2,CCK,10,0,IEEE 802.11b,312,2,fromds,C4:41:1E:99:0E:9E
00:04:4B:BA:93:BF,1,CCK,1,0,IEEE 802.11b,220,1,fromds,C4:41:1E:99:0E:9F
0C:3E:9F:75:C6:2C,2,CCK,2,0,IEEE 802.11b,289,2,fromds,C4:41:1E:99:0E:9F
54:60:09:FE:5E:0C,3,CCK,3,0,IEEE 802.11b+,1365,3,fromds,C4:41:1E:99:0E:9F
B6:D5:10:AF:3B:5E,1,CCK,4,0,IEEE 802.11b,124,1,fromds,C4:41:1E:99:0E:9F
C2:8E:09:20:3D:6A,5,CCK,5,0,IEEE 802.11b,265,1,established,C4:41:1E:99:0E:9F
C4:41:1E:99:0C:1C,3,CCK,6,0,IEEE 802.11b,236,3,fromds,C4:41:1E:99:0E:9F
C4:41:1E:99:0D:39,1,CCK,7,0,IEEE 802.11b,117,1,fromds,C4:41:1E:99:0E:9F
C4:41:1E:99:0E:9C,3,CCK,8,0,IEEE 802.11b,588,3,fromds,C4:41:1E:99:0E:9F
C4:41:1E:99:0E:9F,123,CCK,9,149,IEEE 802.11b+,0,0,fromds,C4:41:1E:99:0E:9F
CA:41:1E:99:0C:1F,6,CCK,10,0,IEEE 802.11b,476,6,fromds,C4:41:1E:99:0E:9F
D6:0B:C5:61:02:B1,3,CCK,11,0,IEEE 802.11b+,880,3,fromds,C4:41:1E:99:0E:9F
CA:41:1E:99:0C:1D,53,,1,2,None,0,0,fromds,CA:41:1E:99:0C:1D
CA:41:1E:99:0D:3A,153,,1,5,None,0,0,fromds,CA:41:1E:99:0D:3A
CA:41:1E:99:0E:9D,158,,1,9,None,0,0,fromds,CA:41:1E:99:0E:9D
