name,mac_address,encryption,wpaVersion,nbPackets,dataSize,lat,lon,firstTimeSeen,lastTimeSeen
SM-N975W4600,22:C0:06:72:93:BC,WPA+AES-CCM WPA+PSK,WPA2,84,0,None,None,Thu May 12 16:52:52 2022,Thu May 12 16:56:52 2022
DIRECT-4W-EPSON-ET-2720 Series,52:57:9C:94:52:C4,WPA+AES-CCM WPA+PSK,WPA2,26,0,None,None,Thu May 12 16:53:00 2022,Thu May 12 16:56:53 2022
Axion-80140050,A8:5E:45:DC:EE:88,WPA+AES-CCM WPA+PSK,WPA+WPA2,39,1668,None,None,Thu May 12 16:52:58 2022,Thu May 12 16:56:58 2022
Axion_2G_Guest,A8:5E:45:DC:EE:89,WPA+AES-CCM WPA+PSK,WPA2,34,156,None,None,Thu May 12 16:52:58 2022,Thu May 12 16:56:39 2022
3564 oiselet,C4:41:1E:99:0C:1D,WPA+AES-CCM WPA+PSK,WPA2,55,0,None,None,Thu May 12 16:52:53 2022,Thu May 12 16:56:58 2022
3564 oiselet,C4:41:1E:99:0C:1E,WPA+AES-CCM WPA+PSK,WPA2,32,1204,None,None,Thu May 12 16:52:55 2022,Thu May 12 16:56:48 2022
3564 oiselet,C4:41:1E:99:0D:3A,WPA+AES-CCM WPA+PSK,WPA2,148,91333,None,None,Thu May 12 16:52:51 2022,Thu May 12 16:55:55 2022
3564 oiselet,C4:41:1E:99:0E:9D,WPA+AES-CCM WPA+PSK,WPA2,121,3599,None,None,Thu May 12 16:52:54 2022,Thu May 12 16:56:59 2022
3564 oiselet,C4:41:1E:99:0E:9E,WPA+AES-CCM WPA+PSK,WPA2,34,668,None,None,Thu May 12 16:53:00 2022,Thu May 12 16:56:53 2022
3564 oiselet,C4:41:1E:99:0E:9F,WPA+AES-CCM WPA+PSK,WPA2,43,1004,None,None,Thu May 12 16:53:03 2022,Thu May 12 16:56:56 2022
Cloaked,CA:41:1E:99:0C:1D,WPA+AES-CCM WPA+PSK,WPA2,65,0,None,None,Thu May 12 16:52:53 2022,Thu May 12 16:56:46 2022
Cloaked,CA:41:1E:99:0D:3A,WPA+AES-CCM WPA+PSK,WPA2,69,0,None,None,Thu May 12 16:52:51 2022,Thu May 12 16:56:52 2022
Cloaked,CA:41:1E:99:0E:9D,WPA+AES-CCM WPA+PSK,WPA2,88,0,None,None,Thu May 12 16:52:54 2022,Thu May 12 16:56:59 2022
