mac_client,packetsNb_client,encoding_client,number_client,channel_client,carrier_client,datasize_client,encrypted_clients_packets,client_type,connected_network
CA:41:1E:99:0C:1F,3,CCK,5,0,IEEE 802.11b,238,3,fromds,C4:41:1E:99:0D:3C
D6:0B:C5:61:02:B1,2,CCK,6,0,IEEE 802.11b,48,0,tods,C4:41:1E:99:0D:3C
00:04:4B:BA:93:BF,5,,1,0,None,485,5,fromds,C4:41:1E:99:0E:9D
2C:D2:6B:88:1E:99,5,CCK,2,0,IEEE 802.11b+,212,1,tods,C4:41:1E:99:0E:9D
50:57:9C:94:D2:C4,2,CCK,3,0,IEEE 802.11b+,152,2,tods,C4:41:1E:99:0E:9D
62:60:81:C7:C3:DB,2,CCK,4,0,IEEE 802.11b+,48,0,tods,C4:41:1E:99:0E:9D
9E:50:4A:18:3F:B0,7,CCK,5,0,IEEE 802.11b+,1978,7,fromds,C4:41:1E:99:0E:9D
B8:27:EB:90:24:00,1,CCK,6,0,IEEE 802.11b+,211,1,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0D:39,1,CCK,7,0,IEEE 802.11b+,76,1,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0E:9C,2,CCK,8,0,IEEE 802.11b+,156,2,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0E:9D,110,CCK,9,9,IEEE 802.11b+,0,0,fromds,C4:41:1E:99:0E:9D
CA:41:1E:99:0D:3B,7,CCK,10,0,IEEE 802.11b+,582,7,fromds,C4:41:1E:99:0E:9D
BE:43:82:EB:69:A7,2,CCK,1,0,IEEE 802.11b,566,2,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0D:39,8,CCK,2,0,IEEE 802.11b,3126,8,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0E:9C,1,CCK,3,0,IEEE 802.11b,76,1,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0E:9E,50,CCK,4,44,IEEE 802.11b+,0,0,unknown,C4:41:1E:99:0E:9E
CA:41:1E:99:0D:3B,5,CCK,5,0,IEEE 802.11b,344,4,established,C4:41:1E:99:0E:9E
00:04:4B:BA:93:BF,3,CCK,1,0,IEEE 802.11b,475,3,fromds,C4:41:1E:99:0E:9F
9E:50:4A:18:3F:B0,4,CCK,2,0,IEEE 802.11b,2222,4,fromds,C4:41:1E:99:0E:9F
BE:43:82:EB:69:A7,2,CCK,3,0,IEEE 802.11b,1470,2,fromds,C4:41:1E:99:0E:9F
C4:41:1E:99:0E:9F,59,CCK,4,149,IEEE 802.11b,0,0,fromds,C4:41:1E:99:0E:9F
CA:41:1E:99:0C:1D,67,,1,5,None,0,0,fromds,CA:41:1E:99:0C:1D
CA:41:1E:99:0D:3A,49,,1,1,None,0,0,fromds,CA:41:1E:99:0D:3A
CA:41:1E:99:0E:9D,83,,1,9,None,0,0,fromds,CA:41:1E:99:0E:9D
D8:47:32:A0:94:46,1,CCK,1,6,IEEE 802.11b+,0,0,fromds,D8:47:32:A0:94:46
F8:B9:5A:CF:FD:45,1,,1,11,None,0,0,fromds,F8:B9:5A:CF:FD:45
FA:8F:CA:9C:E2:81,9,,1,1,None,0,0,fromds,FA:8F:CA:9C:E2:81
