mac_client,packetsNb_client,encoding_client,number_client,channel_client,carrier_client,datasize_client,encrypted_clients_packets,client_type,connected_network
00:06:78:24:0B:C1,52,,1,0,None,0,0,tods,00:06:78:24:0B:C1
04:D4:C4:1A:2E:B0,2,,1,0,None,78,1,unknown,04:D4:C4:1A:2E:B0
10:0C:6B:33:86:E4,28,,1,0,None,0,0,unknown,10:0C:6B:33:86:E4
14:91:82:5D:7B:42,151,,1,6,None,0,0,established,14:91:82:5D:7B:42
14:91:82:5D:7B:44,115,CCK,1,36,IEEE 802.11b,0,0,established,14:91:82:5D:7B:44
18:D6:C7:4D:33:FC,1,,1,11,None,0,0,fromds,18:D6:C7:4D:33:FC
30:23:03:2A:BC:AA,3,,1,0,None,609,3,fromds,30:23:03:2A:BC:AB
30:23:03:2A:BC:AB,8,,2,9,None,0,0,fromds,30:23:03:2A:BC:AB
36:23:03:2A:BF:5A,1,,3,0,None,78,1,fromds,30:23:03:2A:BC:AB
68:57:2D:D0:BA:4F,1,,4,0,None,248,1,fromds,30:23:03:2A:BC:AB
30:23:03:2A:BC:AA,1,,1,0,None,130,1,fromds,30:23:03:2A:BF:58
30:23:03:2A:BF:58,20,,2,4,None,0,0,unknown,30:23:03:2A:BF:58
F0:86:20:10:CB:14,1,,3,0,None,76,1,fromds,30:23:03:2A:BF:58
F6:E0:21:C9:4A:D9,2,,4,0,None,445,2,fromds,30:23:03:2A:BF:58
36:23:03:2A:BC:AB,11,,1,9,None,0,0,fromds,36:23:03:2A:BC:AB
36:23:03:2A:BF:58,11,,1,4,None,0,0,fromds,36:23:03:2A:BF:58
50:2C:C6:70:5B:BF,1,,1,1,None,0,0,fromds,50:2C:C6:70:5B:BF
52:57:9C:94:52:C4,32,CCK,1,0,IEEE 802.11b+,0,0,unknown,52:57:9C:94:52:C4
54:60:09:FE:5E:0C,17,CCK,1,0,IEEE 802.11b,0,0,tods,54:60:09:FE:5E:0C
5C:59:48:B9:89:FE,1,,1,0,None,0,0,tods,5C:59:48:B9:89:FE
60:63:4C:89:57:22,4,,1,9,None,0,0,fromds,60:63:4C:89:57:22
6C:C2:17:1E:EB:EE,8,,1,11,None,0,0,fromds,6C:C2:17:1E:EB:EE
78:25:AD:11:03:F4,1,,1,0,None,0,0,tods,78:25:AD:11:03:F4
84:D8:1B:23:78:1C,2,,1,9,None,0,0,fromds,84:D8:1B:23:78:1C
92:03:3D:52:1D:CD,1,,1,0,None,0,0,tods,92:03:3D:52:1D:CD
3A:D9:ED:CE:93:93,4,,1,0,None,1030,4,fromds,A8:5E:45:DC:EE:88
56:D4:8E:DD:3E:35,1,,2,0,None,24,0,tods,A8:5E:45:DC:EE:88
A8:5E:45:DC:EE:88,49,,3,2,None,852,10,fromds,A8:5E:45:DC:EE:88
BC:8C:CD:23:A6:21,3,,4,0,None,282,3,fromds,A8:5E:45:DC:EE:88
A8:5E:45:DC:EE:89,53,,1,2,None,312,4,fromds,A8:5E:45:DC:EE:89
B0:60:88:AC:D9:74,9,,1,0,None,0,0,tods,B0:60:88:AC:D9:74
3C:8D:20:5B:80:65,2,,1,0,None,48,0,tods,B4:75:0E:D4:ED:78
B6:11:60:71:3F:C8,1,,1,0,None,0,0,tods,B6:11:60:71:3F:C8
B8:27:EB:90:24:00,6,,1,0,None,0,0,tods,B8:27:EB:90:24:00
C0:C9:E3:5D:DD:2E,9,CCK,1,11,IEEE 802.11b+,0,0,fromds,C0:C9:E3:5D:DD:2E
C4:41:1E:99:0C:1D,111,,1,5,None,0,0,fromds,C4:41:1E:99:0C:1D
00:04:4B:BA:93:BF,2,CCK,1,0,IEEE 802.11b,194,2,fromds,C4:41:1E:99:0C:1E
9E:50:4A:18:3F:B0,2,CCK,2,0,IEEE 802.11b,532,2,fromds,C4:41:1E:99:0C:1E
C4:41:1E:99:0C:1E,57,CCK,3,44,IEEE 802.11b,336,4,fromds,C4:41:1E:99:0C:1E
C4:41:1E:99:0E:9C,1,CCK,4,0,IEEE 802.11b,80,1,fromds,C4:41:1E:99:0C:1E
C4:41:1E:99:0E:9D,1,CCK,5,0,IEEE 802.11b,84,1,fromds,C4:41:1E:99:0C:1E
0C:37:96:59:04:6A,6,CCK,1,0,IEEE 802.11b+,602,6,fromds,C4:41:1E:99:0D:3A
54:60:09:FE:5E:0C,1,CCK,2,0,IEEE 802.11b+,116,1,fromds,C4:41:1E:99:0D:3A
B8:27:EB:90:24:00,6,CCK,3,0,IEEE 802.11b+,1392,5,tods,C4:41:1E:99:0D:3A
C4:41:1E:99:0D:3A,44,CCK,4,0,IEEE 802.11b+,1044,10,unknown,C4:41:1E:99:0D:3A
C4:41:1E:99:0E:9C,610,CCK,5,0,IEEE 802.11b+,907780,610,fromds,C4:41:1E:99:0D:3A
E4:8B:7F:D3:E7:AC,293,CCK,6,0,IEEE 802.11b+,35064,292,tods,C4:41:1E:99:0D:3A
00:04:4B:BA:93:BF,9,CCK,1,0,IEEE 802.11b,362,2,established,C4:41:1E:99:0D:3C
54:60:09:FE:5E:0C,1,CCK,2,0,IEEE 802.11b,116,1,fromds,C4:41:1E:99:0D:3C
9E:50:4A:18:3F:B0,8,CCK,3,0,IEEE 802.11b,972,4,established,C4:41:1E:99:0D:3C
C4:41:1E:99:0D:3C,34,CCK,4,0,IEEE 802.11b,0,0,unknown,C4:41:1E:99:0D:3C
